,Modelname,Group,augmentation,gamma,learning_rate,scheduler,test_accuracy_best_val_acc,test_accuracy_best_val_loss,test_accuracy_terminal,test_loss_best_val_acc,test_loss_best_val_loss,test_loss_terminal,test_per_class_accuracy_airplane_best_val_acc,test_per_class_accuracy_airplane_best_val_loss,test_per_class_accuracy_airplane_terminal,test_per_class_accuracy_automobile_best_val_acc,test_per_class_accuracy_automobile_best_val_loss,test_per_class_accuracy_automobile_terminal,test_per_class_accuracy_best_val_acc,test_per_class_accuracy_best_val_loss,test_per_class_accuracy_bird_best_val_acc,test_per_class_accuracy_bird_best_val_loss,test_per_class_accuracy_bird_terminal,test_per_class_accuracy_cat_best_val_acc,test_per_class_accuracy_cat_best_val_loss,test_per_class_accuracy_cat_terminal,test_per_class_accuracy_deer_best_val_acc,test_per_class_accuracy_deer_best_val_loss,test_per_class_accuracy_deer_terminal,test_per_class_accuracy_dog_best_val_acc,test_per_class_accuracy_dog_best_val_loss,test_per_class_accuracy_dog_terminal,test_per_class_accuracy_frog_best_val_acc,test_per_class_accuracy_frog_best_val_loss,test_per_class_accuracy_frog_terminal,test_per_class_accuracy_horse_best_val_acc,test_per_class_accuracy_horse_best_val_loss,test_per_class_accuracy_horse_terminal,test_per_class_accuracy_ship_best_val_acc,test_per_class_accuracy_ship_best_val_loss,test_per_class_accuracy_ship_terminal,test_per_class_accuracy_terminal,test_per_class_accuracy_truck_best_val_acc,test_per_class_accuracy_truck_best_val_loss,test_per_class_accuracy_truck_terminal,train_accuracy,train_loss,train_per_class_accuracy,train_per_class_accuracy_airplane,train_per_class_accuracy_automobile,train_per_class_accuracy_bird,train_per_class_accuracy_cat,train_per_class_accuracy_deer,train_per_class_accuracy_dog,train_per_class_accuracy_frog,train_per_class_accuracy_horse,train_per_class_accuracy_ship,train_per_class_accuracy_truck,val_accuracy,val_loss,val_per_class_accuracy,val_per_class_accuracy_airplane,val_per_class_accuracy_automobile,val_per_class_accuracy_bird,val_per_class_accuracy_cat,val_per_class_accuracy_deer,val_per_class_accuracy_dog,val_per_class_accuracy_frog,val_per_class_accuracy_horse,val_per_class_accuracy_ship,val_per_class_accuracy_truck,weight_decay,Full_Modelname
0,resnet,resnet,False,0.95,0.01,exponential,0.7448,0.7273,0.7491,1.881821548843384,0.8546172164916992,1.8910005661010745,0.809,0.768,0.809,0.832,0.873,0.83,0.7447999999999999,0.7273000000000001,0.636,0.59,0.649,0.594,0.576,0.59,0.718,0.664,0.721,0.601,0.61,0.603,0.812,0.818,0.826,0.787,0.793,0.773,0.843,0.849,0.864,0.7490999999999999,0.816,0.732,0.826,1.0,0.0002850717240944505,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.757,1.7321123916625976,0.7570254943205269,0.7948717948717948,0.8441814595660749,0.6911764705882353,0.5875984251968503,0.6940822467402207,0.6429268292682927,0.8091836734693878,0.789150460593654,0.8873379860418744,0.8297455968688845,0.01,resnet_aug_False_scheduler_exponential_lr_0.01_wd_0.01_gamma_0.95
1,resnet,resnet,True,0.99,0.01,exponential,0.821,0.8157,0.8149,0.5969296001434327,0.573263913333416,0.6505611129045487,0.871,0.823,0.861,0.867,0.891,0.932,0.8210000000000001,0.8157,0.794,0.821,0.826,0.661,0.666,0.646,0.791,0.773,0.793,0.711,0.706,0.716,0.867,0.881,0.871,0.829,0.812,0.783,0.924,0.899,0.899,0.8149,0.895,0.885,0.822,0.8916,0.29974119663238524,0.8915704438890142,0.9056698444555946,0.9430506773707978,0.8616600790513834,0.7961847389558233,0.8890831876092931,0.8244025157232704,0.9221393034825872,0.9154859557544122,0.9349512134100576,0.9230769230769232,0.8265,0.5928082946777343,0.8263956935692278,0.854043392504931,0.9072978303747534,0.7815126050420168,0.6791338582677166,0.8114343029087262,0.7824390243902439,0.8336734693877551,0.8474923234390993,0.8843469591226321,0.8825831702544031,0.01,resnet_aug_True_scheduler_exponential_lr_0.01_wd_0.01_gamma_0.99
2,resnet,resnet,False,0.97,0.01,exponential,0.7467,0.7137,0.7467,1.8061286050796508,0.8532178812980652,1.8061286050796508,0.799,0.763,0.799,0.83,0.813,0.83,0.7467,0.7137,0.656,0.596,0.656,0.565,0.489,0.565,0.717,0.661,0.717,0.626,0.647,0.626,0.82,0.883,0.82,0.788,0.732,0.788,0.855,0.826,0.855,0.7467,0.811,0.727,0.811,1.0,0.0002397827952634543,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7568,1.6847793342590331,0.7570014103850355,0.7958579881656804,0.8510848126232742,0.7048319327731093,0.5679133858267716,0.7161484453360081,0.608780487804878,0.8183673469387756,0.7871033776867963,0.8823529411764706,0.837573385518591,0.01,resnet_aug_False_scheduler_exponential_lr_0.01_wd_0.01_gamma_0.97
3,resnet,resnet,False,0.99,0.01,exponential,0.7342,0.7104,0.7313,1.612378140449524,0.907446408176422,1.6505387575149535,0.786,0.777,0.786,0.83,0.842,0.831,0.7341999999999999,0.7103999999999999,0.636,0.485,0.642,0.548,0.452,0.547,0.707,0.713,0.649,0.604,0.699,0.651,0.845,0.874,0.801,0.741,0.712,0.785,0.835,0.796,0.853,0.7313,0.81,0.754,0.768,0.9908,0.025473165909945965,0.9908038611252744,0.9914701455092824,0.996236828901154,0.9861660079051384,0.9864457831325302,0.9887584311766175,0.9851572327044024,0.9917910447761196,0.99204573701218,0.9952464348261196,0.9947209653092006,0.7351,1.654463108062744,0.7351752928948831,0.7307692307692307,0.8017751479289941,0.6817226890756303,0.5964566929133859,0.7301905717151455,0.5892682926829268,0.7581632653061224,0.7502558853633572,0.8863409770687937,0.8268101761252447,0.01,resnet_aug_False_scheduler_exponential_lr_0.01_wd_0.01_gamma_0.99
4,resnet,resnet,True,0.95,0.01,exponential,0.8033,0.7961,0.8052,0.6254112218856811,0.6276936861038208,0.6360773050308227,0.842,0.846,0.841,0.88,0.875,0.88,0.8033000000000001,0.7961,0.732,0.708,0.725,0.633,0.609,0.637,0.795,0.795,0.791,0.711,0.723,0.717,0.871,0.865,0.865,0.816,0.798,0.827,0.897,0.876,0.898,0.8051999999999999,0.856,0.866,0.871,0.84825,0.42490614795684817,0.8482459957372221,0.8760662318113397,0.9202207727044656,0.7934782608695652,0.7173694779116466,0.8376217836622533,0.7615094339622641,0.8898009950248756,0.8692518021377081,0.916437327995997,0.9007038712921066,0.8062,0.6035760167121887,0.8063379094045148,0.8214990138067061,0.883629191321499,0.773109243697479,0.640748031496063,0.7642928786359077,0.7268292682926829,0.8448979591836735,0.834186284544524,0.9062811565304087,0.8679060665362035,0.001,resnet_aug_True_scheduler_exponential_lr_0.01_wd_0.001_gamma_0.95
5,resnet,resnet,False,0.95,0.01,exponential,0.7479,0.7028,0.7479,1.867033268547058,0.9026228172302246,1.8905781814575195,0.798,0.806,0.797,0.822,0.826,0.83,0.7479000000000001,0.7028000000000001,0.656,0.695,0.675,0.558,0.456,0.553,0.737,0.697,0.718,0.636,0.512,0.628,0.798,0.845,0.815,0.793,0.692,0.797,0.854,0.862,0.848,0.7478999999999999,0.827,0.637,0.818,1.0,0.00028083641501143577,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7531,1.796735608291626,0.752943810537303,0.7919132149901381,0.8481262327416174,0.6659663865546218,0.5885826771653543,0.6860581745235708,0.6341463414634146,0.8122448979591836,0.7737973387922211,0.8753738783649053,0.8532289628180039,0.001,resnet_aug_False_scheduler_exponential_lr_0.01_wd_0.001_gamma_0.95
6,resnet,resnet,False,0.97,0.01,exponential,0.7372,0.6878,0.7372,1.9646203880310056,0.8855565295219422,1.9646203880310056,0.802,0.793,0.802,0.823,0.747,0.823,0.7372,0.6878,0.614,0.65,0.614,0.544,0.489,0.544,0.703,0.602,0.703,0.63,0.503,0.63,0.804,0.793,0.804,0.789,0.768,0.789,0.846,0.843,0.846,0.7372,0.817,0.69,0.817,0.9999,0.0009257951186969876,0.999899953263082,1.0,1.0,1.0,1.0,1.0,0.999748427672956,0.9995024875621892,1.0,1.0,0.9997486173956762,0.7431,1.8680865978240968,0.7432886894746309,0.7840236686390533,0.8550295857988166,0.7090336134453782,0.5679133858267716,0.6730190571715146,0.6058536585365853,0.7806122448979592,0.7871033776867963,0.8444666001994018,0.8258317025440313,0.001,resnet_aug_False_scheduler_exponential_lr_0.01_wd_0.001_gamma_0.97
7,resnet,resnet,True,0.97,0.01,exponential,0.8164,0.8103,0.8135,0.6289068222999573,0.59487726521492,0.6379180150985718,0.838,0.853,0.853,0.899,0.89,0.908,0.8164000000000001,0.8103,0.756,0.798,0.746,0.657,0.615,0.648,0.796,0.768,0.785,0.738,0.726,0.746,0.862,0.862,0.86,0.832,0.843,0.834,0.89,0.885,0.881,0.8135,0.896,0.863,0.874,0.891575,0.30526640906333924,0.8915408675954903,0.915454089312594,0.9422980431510286,0.8614130434782609,0.7868975903614458,0.8850861853609793,0.8173584905660377,0.926865671641791,0.912751677852349,0.9444583437578185,0.9228255404725992,0.8208,0.6079480304718018,0.8207521254697985,0.8619329388560157,0.9003944773175543,0.7972689075630253,0.6850393700787402,0.7973921765295887,0.7502439024390244,0.8224489795918367,0.8167860798362334,0.8993020937188435,0.8767123287671232,0.001,resnet_aug_True_scheduler_exponential_lr_0.01_wd_0.001_gamma_0.97
8,resnet,resnet,False,0.99,0.01,exponential,0.7472,0.7164,0.7461,1.715009415245056,0.8746187668800354,1.7761040016174316,0.769,0.75,0.794,0.865,0.861,0.858,0.7472000000000001,0.7164,0.641,0.599,0.644,0.599,0.454,0.576,0.693,0.665,0.738,0.654,0.628,0.593,0.795,0.884,0.816,0.785,0.753,0.78,0.843,0.862,0.865,0.7461,0.828,0.708,0.797,0.9952,0.013049237815290687,0.9952045078376,0.996236828901154,0.998745609633718,0.9918478260869564,0.9927208835341366,0.9940044966275292,0.9924528301886792,0.9930348258706468,0.9972657220979368,0.9979984988741556,0.997737556561086,0.7479,1.779099273681641,0.7480519852251195,0.7534516765285996,0.8520710059171598,0.7132352941176471,0.5531496062992126,0.6900702106318957,0.671219512195122,0.786734693877551,0.7717502558853634,0.8943170488534397,0.7945205479452054,0.001,resnet_aug_False_scheduler_exponential_lr_0.01_wd_0.001_gamma_0.99
9,resnet,resnet,False,0.95,0.01,exponential,0.7454,0.6993,0.746,1.8920318017959592,0.8752874725341797,1.959796136856079,0.803,0.759,0.806,0.845,0.745,0.828,0.7454000000000001,0.6993,0.656,0.616,0.642,0.567,0.473,0.553,0.697,0.734,0.686,0.632,0.472,0.664,0.808,0.834,0.824,0.802,0.741,0.795,0.836,0.876,0.844,0.7459999999999999,0.808,0.743,0.818,0.999825,0.0010007692015497013,0.9998242567852532,1.0,1.0,1.0,0.9997489959839356,1.0,0.998993710691824,0.9997512437810944,1.0,1.0,0.9997486173956762,0.7488,1.892030407333374,0.7487188063323407,0.7928994082840237,0.8471400394477318,0.6680672268907563,0.5836614173228346,0.691073219658977,0.6585365853658537,0.789795918367347,0.7911975435005117,0.8654037886340977,0.799412915851272,0.0001,resnet_aug_False_scheduler_exponential_lr_0.01_wd_0.0001_gamma_0.95
